name,price,shipping,free_returns,items_sold,item_status
Garmin Forerunner 920XT GPS Running Triathlon Multisport Watch  -  W/ Charger,11500,500,False,,Pre-Owned
Garmin Edge Explore Touring Bike Computer with GPS Capabilities 010-02029-00,10799,0,True,0,New (Other)
Garmin Instinct 2 Rugged GPS Smartwatch - Graphite 010-02626-10,20999,0,True,,Pre-Owned
Garmin Venu Sq Music Edition GPS 40mm Smartwatch - Black ,14900,0,False,,Brand New
Garmin Instinct Rugged Outdoor Watch With GPS - Lakeside Blue,11250,1260,False,,New (Other)
Garmin Forerunner 945,12750,1200,False,,Pre-Owned
Garmin Vivoactive 3 Smartwatch Stainless BLACK,6749,0,True,0,Pre-Owned
Garmin Fenix 6 Pro Premium Multisport GPS Watch Black 010-02158-01,29999,0,True,0,Pre-Owned
Garmin Vivoactive 4 Smartwatch 45mm Black With Slate Hardware GPS Fitness,16900,0,True,43,Pre-Owned
Garmin Vivoactive 4 Smartwatch With GPS 45mm 010-02174-11,15999,0,False,,New (Other)
New ListingGarmin Forerunner 35 Adults GPS Smartwatch - Black  Excellent condition,3000,1710,False,,Pre-Owned
Garmin Fenix 5x Slate Gray Sapphire Heart Rate Monitor Multisport GPS Watches,26495,0,True,48,Refurbished
Garmin Fenix 5 Plus Premium Multisport GPS Watch 47mm ,12500,1260,False,,Pre-Owned
"Garmin Instinct 2, Rugged GPS Outdoor Watch, Multi-GNSS Support,Tracback Routing",27899,0,False,0,Brand New
New ListingGarmin VivoActive 4s 40mm Black Slate Black Band 010-02172-11 Very Good B0724,11995,0,True,,Pre-Owned
New ListingGarmin Fenix 7S Sapphire Solar 42mm Dark Bronze Titanium 010-02539-28,62999,935,True,,Pre-Owned
Garmin Forerunner 235 GPS Running Watch & Activity Tracker Black/Grey,4999,0,True,0,Pre-Owned
Garmin Forerunner 45 Watch - 42mm GPS Running Smartwatch Black 🚚💨,8799,0,True,0,Pre-Owned
Garmin Fenix 5S Multisport GPS Smartwatch Heart Rate Monitor,7500,1085,False,,Pre-Owned
Garmin Fenix 6x Pro Solar Smartwatch - Titanium Carbon Grey / Black ,33999,0,True,0,Pre-Owned
